IFB299,3,12,IT Project Design and Development,
IFB398,3,12,Capstone Project (Phase 1),IFB295 or IFB299
IFB399,3,12,Capstone Project (Phase 2),CAB398 or IAB398 or IFB398
IGB180,1,12,Computer Games Studies,
KKB191,1,12,Am I black enough? Indigenous Australian Representations,
KKB193,2,12,Indigenous Knowledge: Research Ethics and Protocols,
MXB103,3,12,Introductory Computational Mathematics,
MXB105,2,12,Calculus of One and Two Variables,
MXB106,3,12,Linear Algebra and Differential Equations,
MXB107,3,12,Statistical Models for Data: Relationships and Effects,
MXB161,3,12,Computational Explorations,48cp
MZB125,3,12,Introductory Engineering Mathematics,
MZB126,3,12,Engineering Computation,MXB161 or MZB125
MZB151,2,12,Mathematical Tools for Computing,
PVB102,2,12,Physics of the Very Small,
SEB200,2,12,Communicating Science and Mathematics to Diverse Audiences,
